"School","Games Played","Wins","Losses","Ties","Goals For","Goals Against"
"AIC","27","7","19","1","75","113"
"Air Force","27","14","7","6","106","85"
"Army","27","10","13","4","69","84"
"Bentley","27","9","13","5","70","88"
"Canisius","27","10","12","5","76","83"
"Connecticut","27","13","12","2","87","90"
"Holy Cross","27","14","8","5","97","73"
"Mercyhurst","27","12","13","2","98","80"
"Niagara","27","15","10","2","99","92"
"RIT","27","15","5","7","95","64"
"Robert Morris","27","13","9","5","89","72"
"Sacred Heart","27","5","16","6","75","112"